"id","note","only","except","question_id","question_option_type","question_option_id","initiative_id","sdg_id","order","indicator_id","weight","children_action","comment_required","attachment_required","allow_submit","created_at","updated_at","deleted_at"
139,,,,52,"App\Models\Tenant\QuestionOptions\Simple",8,,,11,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
140,,,,53,"App\Models\Tenant\QuestionOptions\Simple",2,,16,1,,"16.67","enable",0,1,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
141,,,,53,"App\Models\Tenant\QuestionOptions\Simple",3,19,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
142,,,,54,"App\Models\Tenant\QuestionOptions\Simple",2,,16,1,,"8.33","enable",0,1,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
143,,,,54,"App\Models\Tenant\QuestionOptions\Simple",3,19,,2,,"0.00","disable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
144,,,,55,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"8.33",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
145,,,,55,"App\Models\Tenant\QuestionOptions\Simple",3,19,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
146,,,,56,"App\Models\Tenant\QuestionOptions\Simple",2,,16,1,,"16.67",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
147,,,,56,"App\Models\Tenant\QuestionOptions\Simple",3,20,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
148,,,,57,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"16.67",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
149,,,,57,"App\Models\Tenant\QuestionOptions\Simple",3,21,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
150,,,,58,"App\Models\Tenant\QuestionOptions\Simple",2,,,1,,"16.67",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
151,,,,58,"App\Models\Tenant\QuestionOptions\Simple",3,19,,2,,"0.00",,0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
152,,,,59,"App\Models\Tenant\QuestionOptions\Simple",2,,16,1,,"5.56","enable",0,0,0,"2022-05-23T04:51:27.000Z","2023-04-27T22:21:41.000Z",
